title,year_min,year_max,make,model,models_expanded,mpn,cost,price,body_html,collection,product_type,meta_title,meta_description
46/48 Plymouth P-15 2 Door Sedan Rear Quarter Boards 2pc,1946,1948,Plymouth,['P-15'],"1946_Plymouth_P15 Special Deluxe,1946_Plymouth_P15 Deluxe,1947_Plymouth_P15 Special Deluxe,1947_Plymouth_P15 Deluxe,1948_Plymouth_P15 Special Deluxe,1948_Plymouth_P15 Deluxe",PLY-DBD-182,42.7,42.7,"Upgrade your classic Plymouth P-15 with our high-quality rear quarter boards designed specifically for 2-door sedans from 1946 to 1948. This 2-piece set is crafted to restore the integrity and appearance of your vehicle, ensuring a perfect fit and finish. Made from durable materials, these quarter boards will enhance the aesthetic of your classic ride while providing the necessary support and structure. Ideal for restoration projects or replacements, these parts are essential for maintaining the classic look and feel of your Plymouth. Don't miss out on the chance to give your P-15 the care it deserves!",Body & Glass,Quarter Window Rubber,Plymouth P-15 Rear Quarter Boards,Shop our 2-piece rear quarter boards for 1946-1948 Plymouth P-15 2-door sedans. Perfect for restoration and replacement.
46/48 Plymouth P-15 4 Door Sedan Door Boards 4pc,1946,1948,Plymouth,['P-15'],"1946_Plymouth_P15 Special Deluxe,1946_Plymouth_P15 Deluxe,1947_Plymouth_P15 Special Deluxe,1947_Plymouth_P15 Deluxe,1948_Plymouth_P15 Special Deluxe,1948_Plymouth_P15 Deluxe",PLY-DBD-185,60.6,60.6,"Upgrade your classic Plymouth P-15 with these high-quality door boards designed specifically for 4-door sedans from 1946 to 1948. This set includes four pieces, ensuring a perfect fit and finish for your vehicle. Crafted from durable materials, these door boards not only enhance the aesthetic appeal of your car but also provide added insulation and soundproofing. Perfect for restoration projects or simply to refresh your interior, these door boards are a must-have for any Plymouth enthusiast.",Interior Rubber and Carpets,Door Weatherstrip Kit,Plymouth P-15 4 Door Sedan Door Boards,Shop high-quality door boards for 1946-1948 Plymouth P-15 4 Door Sedan. Enhance your classic car's interior with durable materials.
49 Plymouth P-18 2 Door Sedan Door & ¼ Boards 4pc,1949,1949,Plymouth,['P-18'],1949_Plymouth_Deluxe,PLY-DBD-195,65.8,65.8,"Upgrade your classic 1949 Plymouth P-18 with this set of 4 door and quarter boards. Designed specifically for the 2-door sedan model, these boards are essential for restoring the integrity and aesthetics of your vehicle. Made from high-quality materials, they ensure durability and a perfect fit, making your restoration project easier and more efficient. Ideal for enthusiasts looking to maintain the authenticity of their Plymouth P-18, this product is a must-have for any restoration project.",Body & Glass,Door Weatherstrip,49 Plymouth P-18 Door & Quarter Boards,Shop for high-quality door and quarter boards for your 1949 Plymouth P-18 2-Door Sedan. Perfect for restoration projects.
49/50 Plymouth 4 Door Sedan Door Boards 4pc,1949,1950,Plymouth,['ALL (4-Door Sedan)'],"1949_Plymouth_Special Deluxe,1949_Plymouth_Deluxe,1950_Plymouth_Special Deluxe,1950_Plymouth_Deluxe",PLY-DBD-198,60.2,60.2,"Upgrade your classic Plymouth with our premium 4-piece door board set designed specifically for 1949 and 1950 4-Door Sedans. These door boards are crafted to restore the interior of your vehicle to its original glory, providing both aesthetic appeal and functional support. Made from high-quality materials, they ensure durability and a perfect fit for your Plymouth. Easy to install, this set is a must-have for any restoration project, enhancing the overall look and feel of your classic ride. Perfect for enthusiasts looking to maintain the authenticity of their vehicle while enjoying modern convenience.",Interior Rubber and Carpets,Door Weatherstrip Kit,Plymouth 49/50 4-Door Sedan Door Boards,Shop our 4-piece door board set for 1949/1950 Plymouth 4-Door Sedans. Perfect for restoration projects!
51/52 Plymouth 2 Door Sedan Door Boards 2pc,1951,1952,Plymouth,['2-Door Sedan'],"1951_Plymouth_Cranbrook,1951_Plymouth_Concord,1951_Plymouth_Cambridge,1952_Plymouth_Cranbrook,1952_Plymouth_Concord,1952_Plymouth_Cambridge",PLY-DBD-205,37.0,37.0,"Upgrade your classic Plymouth with these high-quality door boards designed specifically for 51/52 2-Door Sedans. This 2-piece set is crafted to restore the interior elegance of your vehicle, ensuring a perfect fit and finish. Made from durable materials, these door boards not only enhance the aesthetic appeal of your car but also provide added insulation and soundproofing. Ideal for restoration projects or replacements, these door boards are a must-have for any Plymouth enthusiast looking to maintain the authenticity and charm of their classic ride.",Interior Rubber and Carpets,Door Weatherstrip,Plymouth 51/52 2 Door Sedan Door Boards,Shop for high-quality door boards for 51/52 Plymouth 2-Door Sedans. Perfect for restoration projects!
51/52 Plymouth 4 Door Sedan Door Boards 4pc,1951,1952,Plymouth,['4-Door Sedan'],"1951_Plymouth_Cranbrook,1951_Plymouth_Cambridge,1952_Plymouth_Cranbrook,1952_Plymouth_Cambridge",PLY-DBD-210,57.3,57.3,"Upgrade your classic Plymouth with this set of 4 door boards designed specifically for 1951 and 1952 4-Door Sedans. These door boards are crafted to restore the interior of your vehicle, providing a perfect fit and finish. Made from high-quality materials, they ensure durability and a stylish look that complements your classic car's aesthetic. Easy to install, these door boards will enhance both the appearance and functionality of your vehicle's doors, making them a must-have for any Plymouth enthusiast.",Interior Rubber and Carpets,Door Weatherstrip,Plymouth 51/52 4 Door Sedan Door Boards,Shop for high-quality door boards for 1951 and 1952 Plymouth 4-Door Sedans. Enhance your classic car's interior with these durable and stylish door boards.
53/54 Plymouth 4 Door Sedan Door Board Set 6pc,1953,1954,Plymouth,['4-Door Sedan'],"1953_Plymouth_Cranbrook,1953_Plymouth_Cambridge,1954_Plymouth_Savoy,1954_Plymouth_Plaza",PLY-DBD-245,71.4,71.4,"Upgrade your classic Plymouth with this comprehensive 6-piece door board set designed specifically for 1953 and 1954 4-Door Sedans. This set includes all the essential components to restore the interior of your vehicle, ensuring a perfect fit and finish. Made from high-quality materials, these door boards not only enhance the aesthetic appeal of your car but also provide durability and longevity. Whether you're restoring a vintage vehicle or simply looking to refresh your interior, this door board set is an ideal choice for Plymouth enthusiasts.",Interior Rubber and Carpets,Door Weatherstrip Kit,Plymouth 4 Door Sedan Door Board Set - 1953/54,Shop the 6-piece door board set for 1953/54 Plymouth 4-Door Sedans. Perfect for restoring your classic car's interior.
55/56 Plymouth 2 Door Sedan Door & ¼ Boards 4pc,1955,1956,Plymouth,['2-Door Sedan'],"1955_Plymouth_Plaza,1955_Plymouth_Belvedere,1956_Plymouth_Savoy,1956_Plymouth_Plaza,1956_Plymouth_Belvedere",PLY-DBD-270,68.1,68.1,"Upgrade your classic Plymouth with this set of 4 door and quarter boards designed specifically for the 1955 and 1956 2-Door Sedan models. These boards are crafted to restore the original look and feel of your vehicle, ensuring a perfect fit and finish. Made from high-quality materials, they provide durability and longevity, making them an essential addition for any restoration project. Whether you're a car enthusiast or simply looking to enhance your Plymouth's interior, these door and quarter boards are the perfect solution.",Body & Glass,Door Weatherstrip,Plymouth 55/56 2 Door Sedan Door & ¼ Boards,Shop for high-quality door and quarter boards for 1955 and 1956 Plymouth 2-Door Sedan. Perfect fit and durable materials for your classic restoration.
63/66 Valiant 4 Door Sedan Door Boards 4pc,1963,1966,Plymouth,['Valiant'],"1963_Plymouth_Valiant,1964_Plymouth_Valiant,1965_Plymouth_Valiant,1966_Plymouth_Valiant",PLY-DBD-340,51.0,51.0,"Upgrade your Plymouth Valiant with our high-quality 4-piece door board set designed specifically for 1963 to 1966 models. These door boards are crafted to restore the interior of your 4-door sedan, ensuring a perfect fit and a fresh look. Made from durable materials, they provide both aesthetic appeal and long-lasting performance. Ideal for restoration projects or simply refreshing your vehicle's interior, these door boards will enhance the overall value and comfort of your ride. Easy to install and compatible with all 4-door Valiant models from 1963 to 1966, this set is a must-have for any classic car enthusiast.",Interior Rubber and Carpets,Door Weatherstrip Kit,Plymouth Valiant 63-66 Door Boards,Shop our 4-piece door board set for 1963-1966 Plymouth Valiant 4-door sedans. Perfect for restoration!
68/70 Satellite & Belvedere 4 Door Sedan Door Boards 4pc,1968,1970,Plymouth,"['Satellite', 'Belvedere']","1968_Plymouth_Satellite,1968_Plymouth_Belvedere,1969_Plymouth_Satellite,1969_Plymouth_Belvedere,1970_Plymouth_Satellite,1970_Plymouth_Belvedere",PLY-DBD-400,52.6,52.6,"Upgrade your classic Plymouth Satellite or Belvedere with this set of 4 door boards designed specifically for 4-door sedans from 1968 to 1970. Made with high-quality materials, these door boards not only enhance the aesthetic appeal of your vehicle but also provide durability and longevity. Perfect for restoration projects or simply refreshing the interior of your beloved car, these door boards are a must-have for any Plymouth enthusiast. Easy to install and compatible with both Satellite and Belvedere models, they are the ideal choice for maintaining the classic look of your vehicle.",Interior Rubber and Carpets,Door Weatherstrip Kit,68-70 Plymouth Satellite & Belvedere Door Boards,Set of 4 door boards for 1968-1970 Plymouth Satellite & Belvedere 4-door sedans.
76/80 Plymouth Volare 2 Door Coupe Door Boards 2pc,1976,1980,Plymouth,['Volare'],"1976_Plymouth_Volare,1977_Plymouth_Volare,1978_Plymouth_Volare,1979_Plymouth_Volare,1980_Plymouth_Volare",PLY-DBD-500,34.2,34.2,"Upgrade your 1976 to 1980 Plymouth Volare with our premium Door Boards designed specifically for the 2-Door Coupe model. This set includes two high-quality door boards that enhance the interior aesthetics and provide durability. Perfect for restoring your classic car or improving its interior comfort, these door boards are easy to install and fit seamlessly into your vehicle. Don't miss out on this essential upgrade for your Plymouth Volare!",Interior Rubber and Carpets,Door Weatherstrip,Plymouth Volare Door Boards 2pc (76-80),Shop our 2-piece Door Boards for 1976-1980 Plymouth Volare 2-Door Coupe. Enhance your car's interior with quality and style.
34/64 Plymouth Glove Box Screw Kit 6pc,1934,1964,Plymouth,['ALL'],"1934_Plymouth_Standard PG Model,1934_Plymouth_Standard PF Model,1934_Plymouth_Deluxe PE Model,1935_Plymouth_Model PJ,1935_Plymouth_Deluxe PJ Model,1936_Plymouth_P2 Deluxe,1936_Plymouth_P1 Business Line,1937_Plymouth_P3,1937_Plymouth_PT-50,1937_Plymouth_P4,1938_Plymouth_P5,1938_Plymouth_PT-57,1938_Plymouth_P6,1939_Plymouth_PT-81,1939_Plymouth_P8 Deluxe,1939_Plymouth_P7 Roadking,1940_Plymouth_PT-105,1940_Plymouth_P9 Roadking,1940_Plymouth_P10 Deluxe,1941_Plymouth_PT-125,1941_Plymouth_P12 Special Deluxe,1941_Plymouth_P11 Standard,1941_Plymouth_P11 Deluxe,1942_Plymouth_P14S Deluxe,1942_Plymouth_P14C Special Deluxe,1946_Plymouth_P15 Special Deluxe,1946_Plymouth_P15 Deluxe,1947_Plymouth_P15 Special Deluxe,1947_Plymouth_P15 Deluxe,1948_Plymouth_P15 Special Deluxe,1948_Plymouth_P15 Deluxe,1949_Plymouth_Suburban,1949_Plymouth_Special Deluxe,1949_Plymouth_Deluxe,1950_Plymouth_Suburban,1950_Plymouth_Special Deluxe,1950_Plymouth_Deluxe,1951_Plymouth_Suburban,1951_Plymouth_Deluxe,1951_Plymouth_Cranbrook,1951_Plymouth_Concord,1951_Plymouth_Cambridge,1952_Plymouth_Suburban,1952_Plymouth_Cranbrook,1952_Plymouth_Concord,1952_Plymouth_Cambridge,1953_Plymouth_Suburban,1953_Plymouth_Savoy,1953_Plymouth_Cranbrook,1953_Plymouth_Cambridge,1953_Plymouth_Belvedere,1954_Plymouth_Suburban,1954_Plymouth_Savoy,1954_Plymouth_Plaza,1954_Plymouth_Belvedere,1955_Plymouth_Suburban,1955_Plymouth_Savoy,1955_Plymouth_Plaza,1955_Plymouth_Belvedere,1956_Plymouth_Suburban,1956_Plymouth_Savoy,1956_Plymouth_Plaza,1956_Plymouth_Fury,1956_Plymouth_Belvedere,1957_Plymouth_Suburban,1957_Plymouth_Savoy,1957_Plymouth_Plaza,1957_Plymouth_Fury,1957_Plymouth_Belvedere,1958_Plymouth_Suburban,1958_Plymouth_Savoy,1958_Plymouth_Plaza,1958_Plymouth_Fury,1958_Plymouth_Custom,1958_Plymouth_Belvedere,1959_Plymouth_Suburban,1959_Plymouth_Savoy,1959_Plymouth_Fury,1959_Plymouth_Custom,1959_Plymouth_Belvedere,1960_Plymouth_Valiant,1960_Plymouth_Suburban,1960_Plymouth_Sport Wagon,1960_Plymouth_Savoy,1960_Plymouth_Fury,1960_Plymouth_Fleet Special,1960_Plymouth_Custom,1960_Plymouth_Belvedere,1961_Plymouth_Valiant,1961_Plymouth_Suburban,1961_Plymouth_Savoy,1961_Plymouth_Fury,1961_Plymouth_Belvedere,1962_Plymouth_Valiant,1962_Plymouth_Savoy,1962_Plymouth_Fury,1962_Plymouth_Belvedere,1963_Plymouth_Valiant,1963_Plymouth_Savoy,1963_Plymouth_Fury,1963_Plymouth_Belvedere,1964_Plymouth_Valiant,1964_Plymouth_Savoy,1964_Plymouth_Fury,1964_Plymouth_Belvedere,1964_Plymouth_Barracuda",PLY-FAS-005,2.1,2.1,"This 34/64 Plymouth Glove Box Screw Kit includes 6 pieces designed specifically for Plymouth vehicles manufactured between 1934 and 1964. This kit is perfect for restoring or maintaining your classic Plymouth's glove box, ensuring a secure and authentic fit. Made from high-quality materials, these screws are durable and reliable, making them an essential addition to your restoration project. Whether you're a classic car enthusiast or a professional restorer, this glove box screw kit is a must-have for your Plymouth vehicle.",Accessories,Hardware,Plymouth Glove Box Screw Kit,"Shop the 34/64 Plymouth Glove Box Screw Kit, perfect for classic car restoration. Includes 6 durable screws for Plymouth models from 1934 to 1964."
34/64 Plymouth Glove Box Screw Kit 10pc,1934,1964,Plymouth,['ALL'],"1934_Plymouth_Standard PG Model,1934_Plymouth_Standard PF Model,1934_Plymouth_Deluxe PE Model,1935_Plymouth_Model PJ,1935_Plymouth_Deluxe PJ Model,1936_Plymouth_P2 Deluxe,1936_Plymouth_P1 Business Line,1937_Plymouth_P3,1937_Plymouth_PT-50,1937_Plymouth_P4,1938_Plymouth_P5,1938_Plymouth_PT-57,1938_Plymouth_P6,1939_Plymouth_PT-81,1939_Plymouth_P8 Deluxe,1939_Plymouth_P7 Roadking,1940_Plymouth_PT-105,1940_Plymouth_P9 Roadking,1940_Plymouth_P10 Deluxe,1941_Plymouth_PT-125,1941_Plymouth_P12 Special Deluxe,1941_Plymouth_P11 Standard,1941_Plymouth_P11 Deluxe,1942_Plymouth_P14S Deluxe,1942_Plymouth_P14C Special Deluxe,1946_Plymouth_P15 Special Deluxe,1946_Plymouth_P15 Deluxe,1947_Plymouth_P15 Special Deluxe,1947_Plymouth_P15 Deluxe,1948_Plymouth_P15 Special Deluxe,1948_Plymouth_P15 Deluxe,1949_Plymouth_Suburban,1949_Plymouth_Special Deluxe,1949_Plymouth_Deluxe,1950_Plymouth_Suburban,1950_Plymouth_Special Deluxe,1950_Plymouth_Deluxe,1951_Plymouth_Suburban,1951_Plymouth_Deluxe,1951_Plymouth_Cranbrook,1951_Plymouth_Concord,1951_Plymouth_Cambridge,1952_Plymouth_Suburban,1952_Plymouth_Cranbrook,1952_Plymouth_Concord,1952_Plymouth_Cambridge,1953_Plymouth_Suburban,1953_Plymouth_Savoy,1953_Plymouth_Cranbrook,1953_Plymouth_Cambridge,1953_Plymouth_Belvedere,1954_Plymouth_Suburban,1954_Plymouth_Savoy,1954_Plymouth_Plaza,1954_Plymouth_Belvedere,1955_Plymouth_Suburban,1955_Plymouth_Savoy,1955_Plymouth_Plaza,1955_Plymouth_Belvedere,1956_Plymouth_Suburban,1956_Plymouth_Savoy,1956_Plymouth_Plaza,1956_Plymouth_Fury,1956_Plymouth_Belvedere,1957_Plymouth_Suburban,1957_Plymouth_Savoy,1957_Plymouth_Plaza,1957_Plymouth_Fury,1957_Plymouth_Belvedere,1958_Plymouth_Suburban,1958_Plymouth_Savoy,1958_Plymouth_Plaza,1958_Plymouth_Fury,1958_Plymouth_Custom,1958_Plymouth_Belvedere,1959_Plymouth_Suburban,1959_Plymouth_Savoy,1959_Plymouth_Fury,1959_Plymouth_Custom,1959_Plymouth_Belvedere,1960_Plymouth_Valiant,1960_Plymouth_Suburban,1960_Plymouth_Sport Wagon,1960_Plymouth_Savoy,1960_Plymouth_Fury,1960_Plymouth_Fleet Special,1960_Plymouth_Custom,1960_Plymouth_Belvedere,1961_Plymouth_Valiant,1961_Plymouth_Suburban,1961_Plymouth_Savoy,1961_Plymouth_Fury,1961_Plymouth_Belvedere,1962_Plymouth_Valiant,1962_Plymouth_Savoy,1962_Plymouth_Fury,1962_Plymouth_Belvedere,1963_Plymouth_Valiant,1963_Plymouth_Savoy,1963_Plymouth_Fury,1963_Plymouth_Belvedere,1964_Plymouth_Valiant,1964_Plymouth_Savoy,1964_Plymouth_Fury,1964_Plymouth_Belvedere,1964_Plymouth_Barracuda",PLY-FAS-010,2.0,2.5,"The 34/64 Plymouth Glove Box Screw Kit includes 10 pieces designed specifically for Plymouth vehicles manufactured between 1934 and 1964. This kit is essential for restoring or maintaining the glove box in your classic Plymouth, ensuring a secure fit and original appearance. Each screw is crafted to meet the quality standards expected by classic car enthusiasts, making it a perfect addition to your restoration project. Whether you're a seasoned restorer or a first-time DIYer, this screw kit will help you achieve a professional finish on your Plymouth's interior.",Accessories,Interior Rubber and Carpets,Plymouth Glove Box Screw Kit 10pc,"Shop the 34/64 Plymouth Glove Box Screw Kit, a 10-piece set designed for classic Plymouth vehicles from 1934 to 1964. Perfect for restoration projects!"
