task_id,meta_title,meta_description,product_description,validation_error,raw_content
task-15,Valve Cover Gasket Set for Vintage Dodge V8 - Made in USA,"Seal your engine right with our USA-made Valve Cover Gasket Set, perfect for 1953-58 Dodge V8s. High-quality, durable and precisely fits Hemi engines.","<h1>Valve Cover Gasket Set for Dodge V8 Engines</h1>
<p>Ensure a perfect seal for your vintage Dodge's engine with our high-quality Valve Cover Gasket Set. Designed specifically for 1953-58 Dodge V8 engines, including those mighty Hemis, this gasket set is the ultimate solution for preventing oil leaks and maintaining engine performance. Proudly made in the USA, it's engineered for durability and a precise fit.</p>
<ul>
<li>Fits 1953-54 Dodge cars V8 all models</li>
<li>Compatible with 1955-58 Dodge V8s, specifically designed for Hemi engines (does not fit Poly engine)</li>
<li>Manufactured in the USA, ensuring top-notch quality and reliability</li>
</ul>
<h2>Technical Specifications</h2>
<ul>
<li>SKU: LV8-828</li>
<li>MPN: 19021E</li>
<li>Product Type: Valve Cover Gasket Set</li>
<li>Vehicle Compatibility: 1953-58 Dodge Coronet, Meadowbrook, Royal, and more</li>
</ul>
<p><strong>Upgrade your vintage Dodge with a gasket set that stands the test of time. <a href='#'>Buy Now!</a></strong></p>",,
task-16,Valve Cover Gasket Set for 241-325 CUI - Premium Quality,"Seal your engine right with our Valve Cover Gasket Set, fitting multiple 1955-58 Dodge & Plymouth models. Made in USA for unmatched reliability.","<h2>Seal Your Engine with Confidence</h2>
<p>Keep your engine running smoothly with our high-quality Valve Cover Gasket Set, designed to fit a variety of classic vehicles. Perfect for your 1955 Plymouth V8, 1955 Dodge cars Poly V8, and more, this gasket set ensures a perfect seal to prevent oil leaks and protect your engine.</p>
<ul>
<li>Fits multiple classic vehicles including 1955 Plymouth V8 all, 1956 Plymouth 270 V8, and 1957-58 Dodge cars Poly V8.</li>
<li>Specifically does not fit HEMI engines, ensuring the perfect fit for compatible models.</li>
<li>Proudly made in the USA, guaranteeing quality and durability.</li>
</ul>
<h3>Technical Specifications:</h3>
<ul>
<li>SKU: LV8-829</li>
<li>MPN: 18012E</li>
<li>Product Type: Valve Cover Gasket Set</li>
</ul>
<p>Compatible with over 28 classic vehicles, this Valve Cover Gasket Set is the ideal choice for restoring your engine's performance and reliability.</p>
<p><strong>Don't wait to secure your engine's integrity. <a href='#'>Order now!</a></strong></p>",,
task-17,,,,"1 validation error for ProductSEOOutput
meta_title
  String should have at most 60 characters [type=string_too_long, input_value='Valve Cover Gasket Set f... - Fits Multiple Models', input_type=str]
    For further information visit https://errors.pydantic.dev/2.10/v/string_too_long","{'meta_title': 'Valve Cover Gasket Set for Classic Cars - Fits Multiple Models', 'meta_description': 'Seal your engine right with our premium Valve Cover Gasket Set, fitting a wide range of classic Plymouth and Dodge cars from 1956-1966.', 'product_description': '<h2>Ensure a Perfect Seal with Our Premium Valve Cover Gasket Set</h2>\n<p>Keep your classic car running smoothly with our top-quality Valve Cover Gasket Set. Designed to fit a wide variety of models, this gasket set ensures a perfect seal every time, preventing oil leaks and protecting your engine.</p>\n<ul>\n<li>Fits 1956 Plymouth 277, 1957-58 Plymouth all (except 1958 Fury with 350 engine), 1959-1966 Plymouth and Dodge cars with 318 all, 1959 Dodge Coronet with 326.</li>\n<li>Manufactured with precision for a direct fit.</li>\n<li>SKU: LV8-830; MPN: 20018E; Product Type: Valve Cover Gasket Set.</li>\n<li>Compatible with over 79 classic vehicles, including 1954 DeSoto Firedome, 1956 Plymouth Belvedere/Fury/Plaza/Savoy, and more.</li>\n</ul>\n<h3>Technical Specifications:</h3>\n<p>SKU: LV8-830<br>MPN: 20018E<br>Product Type: Valve Cover Gasket Set</p>\n<a href=""#"" style=""display:inline-block;background-color:#007bff;color:#ffffff;text-decoration:none;padding:10px 20px;border-radius:5px;"">Buy Now - $24.5</a>'}"
task-18,Valve Cover Gasket Set for Chrysler Windsor & Saratoga,High-quality Valve Cover Gasket Set for 1955-58 Chrysler Windsor & Saratoga. Made in USA. Perfect fit & durability. Buy now for better engine performance!,"<p>Ensure your engine's longevity and performance with our premium <strong>Valve Cover Gasket Set</strong>, specifically designed for the 1955-58 Chrysler Windsor and 1957-58 Chrysler Saratoga. Crafted with precision in the USA, this set offers the reliability and durability your vehicle deserves.</p>
<ul>
<li>Perfect fit for 1955-58 Chrysler Windsor and 1957-58 Chrysler Saratoga models</li>
<li>Enhances engine performance by preventing oil leaks</li>
<li>Manufactured in the USA for unmatched quality and durability</li>
</ul>
<p><strong>Specifications:</strong></p>
<ul>
<li>SKU: LV8-833</li>
<li>MPN: 20071E</li>
<li>Product Type: Valve Cover Gasket Set</li>
<li>Vehicle Compatibility: 1955-58 Chrysler Windsor, 1957-58 Chrysler Saratoga</li>
</ul>
<p><a href='#'>Buy now</a> to give your engine the protection it needs with our Valve Cover Gasket Set.</p>",,
task-19,,,,"1 validation error for ProductSEOOutput
meta_title
  String should have at most 60 characters [type=string_too_long, input_value='Valley Cover Gasket Set ...8 1951-54 | Made in USA', input_type=str]
    For further information visit https://errors.pydantic.dev/2.10/v/string_too_long","{'meta_title': 'Valley Cover Gasket Set for Chrysler V8 1951-54 | Made in USA', 'meta_description': 'Seal your engine with our Valley Cover Gasket Set for 1951-54 Chrysler V8 & Imperial models. Made in USA, ensures perfect fit & durability. Shop now!', 'product_description': ""<h2>Seal Your Engine with Confidence</h2>\n<p>Ensure a perfect seal for your engine's valley cover with our premium Valley Cover Gasket Set. Designed specifically for 1951-54 Chrysler V8 and Imperial models, this gasket set is the ideal choice for your classic car restoration or maintenance needs.</p>\n<ul>\n<li>Includes both gaskets for a complete replacement.</li>\n<li>Fits 1951-54 Chrysler V8 models and all Imperial models.</li>\n<li>Proudly made in the USA, guaranteeing quality and fitment.</li>\n</ul>\n<h3>Technical Specifications</h3>\n<ul>\n<li>SKU: LV8-834</li>\n<li>MPN: 18089E</li>\n<li>Product Type: Valley Cover Gasket Set</li>\n</ul>\n<p>Compatible with a wide range of vehicles, including 1951 Chrysler Imperial, New Yorker, Saratoga, and more. Ensure your classic car runs smoothly with this essential engine component.</p>\n<a href='#' style='color:#337ab7; text-decoration:none; font-weight:bold;'>Add to Cart</a> to give your engine the protection it deserves.""}"
task-20,,,,"1 validation error for ProductSEOOutput
meta_title
  String should have at most 60 characters [type=string_too_long, input_value='Valley Cover Gasket Set ... High Quality & Durable', input_type=str]
    For further information visit https://errors.pydantic.dev/2.10/v/string_too_long","{'meta_title': 'Valley Cover Gasket Set for DeSoto V8 - High Quality & Durable', 'meta_description': 'Upgrade your engine with our Valley Cover Gasket Set, fitting 1952-57 DeSoto V8 models. Made in USA, ensures peak performance and reliability.', 'product_description': '<h2>Optimize Your Engine\'s Performance with Our Valley Cover Gasket Set</h2>\n<p>Ensure your engine runs smoothly and efficiently with our premium Valley Cover Gasket Set, specifically designed for 1952-57 DeSoto V8 models (except 1957 Firesweep). Made in the USA, this set offers unmatched durability and reliability, keeping your engine sealed and protected.</p>\n<ul>\n<li>Includes both push rod or valley pan cover gaskets.</li>\n<li>Perfect fit for 1952-57 DeSoto all V8 models EXCEPT 1957 Firesweep.</li>\n<li>High-quality manufacturing in the USA ensures durability.</li>\n</ul>\n<h3>Technical Specifications:</h3>\n<ul>\n<li>SKU: LV8-835</li>\n<li>MPN: 18091E</li>\n<li>Product Type: Valley Cover Gasket Set</li>\n</ul>\n<p>Compatible with a wide range of vehicles, including 1952 to 1955 DeSoto Firedome and Fireflite, among others.</p>\n<a href=""#"" style=""background-color:#008cba; color:white; padding:10px 20px; text-decoration:none; border-radius:5px;"">Buy Now - Only $18.5</a>'}"
task-21,Premium Valley Cover Gasket for Classic V8 Engines | $14.5,"Enhance your engine's performance with our Valley Cover Gasket. Perfect fit for specific vintage Dodge, Plymouth, and DeSoto models. Made in the USA.","<h2>Optimize Your Engine's Performance with Our Valley Cover Gasket</h2>
<p>Ensure your classic V8 engine runs smoothly with our high-quality Valley Cover Gasket. Designed specifically for vintage vehicles, this gasket provides a secure seal to prevent oil leaks and protect your engine's internal components. Crafted with precision in the USA, it's the perfect choice for restoring or maintaining your classic car.</p>
<ul>
<li>Perfect fit for 1955 Plymouth all V8, 1956 Plymouth 270, 1953-58 Dodge cars all V8, and 1957 DeSoto Firesweep models.</li>
<li>Excludes compatibility with 1956 Plymouth 277 and other DeSoto models.</li>
<li>Made in the USA, ensuring premium quality and durability.</li>
</ul>
<h3>Technical Specifications</h3>
<ul>
<li>SKU: LV8-836</li>
<li>MPN: 16017E</li>
<li>Product Type: Valley Cover Gasket</li>
<li>Vehicle Compatibility: Includes 1955 Dodge Coronet, Custom, Lancer, Royal, Plymouth Belvedere, and 24 more classic vehicles.</li>
</ul>
<p><strong>Don't let oil leaks and engine problems hold you back. Order your Valley Cover Gasket today and keep your classic car running like new!</strong></p>",,
task-22,Valley Cover Gasket for Chrysler & Imperial 1955-58,"High-quality Valley Cover Gasket for Chrysler & Imperial 1955-58 models. Made in USA, perfect fit for engine protection. Shop now for durability!","<p>Ensure your engine's longevity and performance with our premium <strong>Valley Cover Gasket</strong>, specifically designed for Chrysler and Imperial models from 1955 to 1958. Made in the USA, this gasket guarantees a perfect seal to protect your engine.</p>
<ul>
<li>Direct fit for <strong>1955-58 Chrysler and Imperial</strong> models</li>
<li><strong>Made in the USA</strong> - Quality you can trust</li>
<li>Fits a wide range of models including <strong>Chrysler 300, Imperial, New Yorker, and Windsor</strong></li>
</ul>
<p><strong>Specifications:</strong></p>
<ul>
<li>SKU: LV8-837</li>
<li>MPN: 18089EX</li>
<li>Product Type: Valley Cover Gasket</li>
</ul>
<p><a href='#'>Buy Now</a> to enhance your engine's protection and performance with our Valley Cover Gasket. Perfect fit and superior durability for your classic vehicle.</p>",,
task-23,Intake Manifold Gasket Set for Chrysler/Imperial 1951-58,"Upgrade your engine with a USA-made Intake Manifold Gasket Set, perfect for Chrysler & Imperial V8 models 1951-58. Ensure peak performance today!","<h2>Optimize Your Engine's Performance</h2>
<p>Ensure your vintage Chrysler or Imperial runs like new with our premium Intake Manifold Gasket Set. Designed specifically for V8 models from 1951-58, this gasket set is an essential upgrade for your classic car. Made in the USA, it guarantees quality and durability.</p>
<ul>
<li>Direct fit for 1951-58 Chrysler and Imperial all V8 models</li>
<li>Made in the USA - premium quality and precision</li>
<li>Comprehensive set for a complete replacement</li>
</ul>
<h3>Technical Specifications:</h3>
<ul>
<li>SKU: LV8-839</li>
<li>MPN: 17061E</li>
<li>Product Type: Intake Manifold Gasket Set</li>
</ul>
<p>Compatible with a wide range of vehicles, including the 1951 to 1958 Chrysler Imperial, New Yorker, and Saratoga, among others. Perfect for restorers and enthusiasts looking to maintain or enhance their vehicle's engine performance.</p>
<a href=""#"">Buy Now</a> - Don't miss out on this essential engine component!",,
task-24,Intake Manifold Gasket Set for 1952-57 DeSoto V8 - $21.5,"Upgrade your DeSoto V8 with our USA-made Intake Manifold Gasket Set. Perfect fit for 1952-57 models, ensuring peak performance. Shop now!","<h2>Enhance Your Engine's Performance</h2>
<p>Revitalize your classic DeSoto V8's engine with our premium Intake Manifold Gasket Set. Designed specifically for 1952-57 DeSoto models, this gasket set ensures a perfect seal to maintain engine efficiency and performance. Proudly made in the USA, it's the ideal choice for restoring your vintage vehicle to its former glory.</p>
<ul>
<li>Fits 1952-57 DeSoto all V8 models, excluding the 1957 Firesweep.</li>
<li>Made with precision in the USA for unmatched quality and fitment.</li>
</ul>
<h3>Specifications:</h3>
<ul>
<li>SKU: LV8-840</li>
<li>MPN: 16085E</li>
<li>Product Type: Intake Manifold Gasket Set</li>
<li>Price: $21.5</li>
</ul>
<h3>Vehicle Compatibility:</h3>
<p>Designed for a wide range of DeSoto models, including 1952-55 Firedome, 1955 Fireflite, and more, ensuring a wide compatibility.</p>
<p><strong>Don't miss out on restoring your classic DeSoto with this essential component. <a href='#'>Order now</a> to take the first step towards peak engine performance!</strong></p>",,
task-25,,,,"1 validation error for ProductSEOOutput
meta_title
  String should have at most 60 characters [type=string_too_long, input_value='Main Bearing Set for Cla... - Fits Multiple Models', input_type=str]
    For further information visit https://errors.pydantic.dev/2.10/v/string_too_long","{'meta_title': 'Main Bearing Set for Classic V8 Engines - Fits Multiple Models', 'meta_description': 'Essential for engine rebuilds, this Main Bearing Set fits select 1959-73 V8s. Perfect for Chrysler classics. Ensure your engine runs smoothly.', 'product_description': ""<h1>Main Bearing Set for Vintage V8 Engines</h1>\n<p>Revitalize your classic vehicle's engine with our premium Main Bearing Set, specifically designed to fit a wide range of vintage V8 engines. Whether you're restoring a 1959 Chrysler or fine-tuning a 1973 muscle car, this bearing set ensures your engine operates at peak performance.</p>\n<ul>\n<li>Fits 1959-60 383 cui, 1959-73 413 cui, 1966-73 440 cui, and 1963-65 426 Wedge V8 engines.</li>\n<li>Expertly engineered for compatibility with a vast array of classic vehicles.</li>\n<li>SKU: LV8-920, ensuring you receive the exact main bearing set designed for your engine type.</li>\n<li>Product Type: Main Bearing Set, tailored for engine longevity and performance.</li>\n</ul>\n<p>Compatibility spans over 170 classic vehicles, including the 1959 Chrysler 300, Imperial, New Yorker, Saratoga, and Windsor, among others.</p>\n<p><strong>Don't let engine issues hold you back. Order now and give your classic car the performance it deserves.</strong></p>""}"
