task_id,meta_title,meta_description,product_description,validation_error
task-12,Vintage V8 Engine Oil Pan Gasket Set 1959-66 | Classic Parts,Shop high-quality oil pan gasket sets for 1959-66 Plymouth & Dodge cars with 301-326 cui V8 engines. Perfect restoration parts!,"<p>Revitalize the engine of your classic 1959-66 Dodge or Plymouth with our premium Oil Pan Gasket Set, specifically designed to fit a range of models equipped with 301, 303, 313, 318, or 326 cubic inch V8 engines. This gasket set is the perfect choice for enthusiasts looking to maintain, restore, or enhance the performance and reliability of their vehicle's engine.</p><p><strong>Compatibility:</strong> This set is precisely engineered for an array of models, including the 1959 Dodge Coronet, Custom Royal, Royal, Sierra, and various Plymouth classics like the Belvedere, Fury, and Savoy, extending through to the 1966 Dodge Charger, Coronet, Monaco, Polara, and Plymouth models including the Satellite, Belvedere II, and Fury series. <strong>Note:</strong> It does not fit any big block or 273 small block engines, ensuring you get the right fit for your vintage engine.</p><p>Whether you're undertaking a full restoration or simply replacing aging parts, this oil pan gasket set offers the durability and fitment needed to keep your vintage engine running smoothly. With its comprehensive coverage of popular models from the late 50s to mid-60s, this gasket set is an essential component for maintaining the legendary performance of your classic Dodge or Plymouth vehicle.</p>",
task-13,Valve Cover Gasket Set for Chrysler V8 Models 1951-58,"High-quality Valve Cover Gasket Set fits 1951-58 Chrysler V8, New Yorker, 300 & Imperial models. Made in USA for optimal engine performance.","<p>Ensure your vintage Chrysler engine maintains its integrity with our premium <strong>Valve Cover Gasket Set</strong>. Designed specifically for <em>1951-1958 Chrysler V8 models</em>, including the prestigious <em>New Yorker, 300, and Imperial models</em>, this gasket set is the ideal solution for engine maintenance and restoration projects.</p><ul><li><strong>Perfect Fit</strong>: Tailored for 1951-54 Chrysler all V8 models, 1955-58 Chrysler New Yorker &amp; 300 models, and 1951-58 Imperial all models.</li><li><strong>Quality Manufacturing</strong>: Proudly <em>Made in the USA</em>, ensuring top-notch quality and durability.</li><li><strong>Engine Compatibility</strong>: Specially designed for the classic Chrysler V8 engines, providing a seamless and leak-free fit.</li><li><strong>Comprehensive Coverage</strong>: Fits a wide range of models from 1951 through 1958, making it a versatile choice for numerous vintage vehicles.</li></ul><p>Revitalize your engine's performance and maintain its historical value with our Valve Cover Gasket Set. Perfect for enthusiasts and restorers desiring authentic and reliable parts.</p>",
task-14,1952-57 DeSoto V8 Valve Cover Gasket Set - Vintage Auto Parts,"Premium Valve Cover Gasket Set for 1952-57 DeSoto V8 models. Perfect fit for Firedome & Fireflite, excluding 1957 Firesweep. Shop now!","<p>Seal your engine with confidence with our <strong>Valve Cover Gasket Set</strong> designed specifically for <strong>1952-57 DeSoto all V8 models</strong>, with the exception of the 1957 Firesweep. Crafted from high-quality materials, this gasket set ensures a perfect seal to prevent oil leaks, thereby enhancing your engine's performance and longevity.</p><ul><li>Direct fit for a wide range of models including <em>1952-57 DeSoto Firedome, Fireflite, and Adventurer</em>.</li><li>Excludes 1957 Firesweep models, ensuring a precise fit for your vintage DeSoto.</li><li>Manufactured to meet or exceed original equipment specifications for durability and performance.</li><li>Easy to install, providing a hassle-free solution to maintain your engine's health.</li></ul><p>Whether you're restoring your classic DeSoto or simply maintaining its engine, our Valve Cover Gasket Set is the ideal choice for ensuring a leak-free engine. Shop now and keep your vintage car running smoothly!</p>","1 validation error for ProductSEOOutput
meta_title
  String should have at most 60 characters [type=string_too_long, input_value='1952-57 DeSoto V8 Valve ...et - Vintage Auto Parts', input_type=str]
    For further information visit https://errors.pydantic.dev/2.10/v/string_too_long"
task-15,Valve Cover Gasket Set for 1953-58 Dodge V8 Hemi,"Shop high-quality USA-made Valve Cover Gasket Set for 1953-58 Dodge V8 Hemi cars. Perfect fit for Coronet, Royal, and more.","<p>Revitalize your classic Dodge engine with our premium <strong>Valve Cover Gasket Set</strong>, meticulously designed for a range of 1953-58 Dodge cars equipped with the V8 Hemi engine. This exclusive set is the perfect choice for enthusiasts and restorers aiming to maintain the authenticity and performance of their cherished vehicles.</p><ul><li><strong>Compatibility:</strong> Specifically engineered for 1953-54 Dodge V8 all models and 1955-58 Dodge V8 Hemi-equipped vehicles. Note: This set is not suitable for Poly Engine models.</li><li><strong>Quality Craftsmanship:</strong> Proudly made in the USA, this gasket set meets the highest standards of quality and durability, ensuring a perfect seal to prevent oil leaks and protect your engine.</li><li><strong>Fitment:</strong> Ideal for a wide array of models including the 1953-58 Dodge Coronet, Meadowbrook, Royal, Custom, Lancer, Sierra, Suburban, and more, providing a seamless fit for your vehicle's engine.</li></ul><p>Invest in the best for your vintage Dodge. Our Valve Cover Gasket Set not only ensures optimum engine performance but also helps in preserving the value and legacy of your classic car.</p>",
task-16,Valve Cover Gasket Set for Vintage V8s | 1955-1958 Fitment,"Premium Valve Cover Gasket Set for 1955-1958 Dodge & Plymouth V8s. Made in USA, perfect for vintage car restoration.","<p>Seal your engine with confidence using our high-quality <strong>Valve Cover Gasket Set</strong>, designed specifically for a range of vintage V8 engines. This gasket set is a perfect match for enthusiasts and restorers of classic Dodge and Plymouth vehicles, ensuring a precise fit and superior seal to keep your engine running smoothly.</p><ul><li>Direct fit for <strong>1955 Plymouth V8 all models</strong>, <strong>1955 Dodge cars Poly V8 (excluding HEMI engines)</strong>, and <strong>1956 Plymouth 270 V8 (excluding 277 V8)</strong>.</li><li>Compatible with <strong>1957-58 Dodge cars Poly V8</strong>, ensuring a broad range of fitment for your restoration needs.</li><li>Exclusively <strong>Made in the USA</strong>, guaranteeing quality and durability for your classic car.</li></ul><p>Fitment includes a wide range of models such as the <strong>1955-1958 Dodge Coronet, Dodge Custom, Dodge Lancer, Dodge Royal</strong>, and various <strong>Plymouth models including the Belvedere, Plaza, Savoy,</strong> and <strong>Suburban</strong>. This gasket set is essential for anyone looking to maintain or restore their vintage vehicle to its original glory.</p><p>Invest in your classic car's longevity and performance with our Valve Cover Gasket Set, a crucial part of any engine maintenance or rebuild project.</p>",
task-17,Valve Cover Gasket Set for Classic Plymouth & Dodge,High-quality valve cover gasket set for 1956-1966 Plymouth & Dodge. Perfect for engine maintenance and restoration projects.,"<p>Upgrade your classic car's engine with our premium Valve Cover Gasket Set, designed specifically for a wide range of vintage Plymouth and Dodge vehicles. This gasket set is the ideal choice for car enthusiasts and professional restorers looking to maintain the integrity of their engine while ensuring peak performance.</p><ul><li>Fits 1956 Plymouth 277 (excluding 270), 1957-58 Plymouth models (except 1958 Fury with 350 engine), 1959-1966 Plymouth and Dodge cars with 318, and 1959 Dodge Coronet with 326.</li><li>Compatible with a comprehensive list of models from 1954 DeSoto Firedome to 1966 Plymouth Satellite, including the iconic 1956 Plymouth Belvedere, Fury, Plaza, Savoy, Suburban, and many more across the years.</li><li>Designed to provide a perfect seal to prevent oil leaks and ensure optimal engine performance.</li><li>Made from high-quality materials for durability and longevity.</li><li>Easy to install, making it the perfect choice for DIY enthusiasts and professionals alike.</li></ul><p>Whether you're performing regular maintenance or completing a full restoration, our Valve Cover Gasket Set is the perfect addition to your vintage Plymouth or Dodge. Ensure your classic car runs smoothly and efficiently with this essential engine component.</p>",
task-18,Valve Cover Gasket Set for 1955-58 Chrysler Windsor & Saratoga,"High-quality valve cover gasket set for 1955-58 Chrysler Windsor & Saratoga. Perfect fit, made in the USA.","<p>Enhance the performance of your vintage Chrysler with our premium <strong>Valve Cover Gasket Set</strong>, specifically designed for the <strong>1955-58 Chrysler Windsor</strong> and the <strong>1957-58 Chrysler Saratoga</strong>. Manufactured in the USA, this gasket set ensures a perfect seal to prevent oil leaks and protect your engine.</p><ul><li><strong>Vehicle Compatibility:</strong> Designed to fit 1955, 1956, 1957, and 1958 Chrysler Windsor models, as well as 1957 and 1958 Chrysler Saratoga.</li><li><strong>Quality Construction:</strong> Made with durable materials that withstand extreme temperatures and pressures, ensuring longevity and reliability.</li><li><strong>Easy Installation:</strong> This gasket set comes with all you need for a hassle-free installation, making it the perfect choice for both professionals and DIY enthusiasts.</li><li><strong>Made in the USA:</strong> Proudly manufactured in the United States, ensuring top-notch quality and performance.</li></ul><p>Restore your classic Chrysler to its former glory with our Valve Cover Gasket Set, and enjoy a leak-free, high-performing engine. Perfect for restorations, repairs, or maintenance. Order yours today!</p>","1 validation error for ProductSEOOutput
meta_title
  String should have at most 60 characters [type=string_too_long, input_value='Valve Cover Gasket Set f...sler Windsor & Saratoga', input_type=str]
    For further information visit https://errors.pydantic.dev/2.10/v/string_too_long"
task-19,1951-54 Chrysler & Imperial Valley Cover Gasket Set,Shop high-quality Valley Cover Gasket Set for 1951-54 Chrysler V8 & Imperial models. Made in USA. Ensure your engine's peak performance.,"<p>Revive the heart of your classic 1951-1954 Chrysler V8 or Imperial models with our premium <strong>Valley Cover Gasket Set</strong>. Precision-engineered in the USA, this set includes both gaskets required for a seamless fit and impeccable seal. Designed specifically for push rod or valley covers, these gaskets are the perfect solution to prevent oil leaks and protect your engine's internal components.</p><p><strong>Compatibility:</strong> Fits perfectly with 1951-1954 Chrysler Imperial, New Yorker, and Saratoga models, ensuring a broad coverage for your vintage vehicle's needs. Whether you're restoring your classic car or ensuring its daily reliability, this gasket set offers the durability and fitments tailored for your vehicle.</p><p>Made with the finest materials and crafted to exceed OEM specifications, this <strong>Valley Cover Gasket Set</strong> is your go-to choice for maintaining your engine's integrity and performance. Don't compromise on quality, ensure your vintage Chrysler or Imperial runs smoothly with our trusted gasket set.</p>",
task-20,Valley Cover Gasket Set for 1952-57 DeSoto V8 Models,"Premium Valley Cover Gasket Set for 1952-57 DeSoto V8, excluding 1957 Firesweep. Made in USA. Perfect fit for vintage DeSoto restoration.","<p>Revitalize your classic DeSoto V8's engine with our <strong>Valley Cover Gasket Set</strong>, specifically designed for a seamless fit on models from 1952 to 1957, except the 1957 Firesweep. Manufactured in the USA, this set includes both gaskets required for a complete and reliable replacement.</p><ul><li><strong>Compatibility:</strong> Designed to fit a wide range of DeSoto models including the Firedome, Fireflite, and Adventurer from 1952 through 1957.</li><li><strong>Quality:</strong> Each gasket set is crafted with precision to ensure a perfect seal and long-lasting durability.</li><li><strong>Installation:</strong> Easy to install, providing a hassle-free solution to common engine maintenance.</li><li><strong>Made in the USA:</strong> Proudly manufactured in the United States, ensuring top-notch quality and reliability for your vintage DeSoto.</li></ul><p>Perfect for car enthusiasts and restorers looking to bring their vintage DeSoto V8 engines back to life. Get your Valley Cover Gasket Set today and ensure your classic car runs smoothly for years to come.</p>",
task-21,Valley Cover Gasket for Vintage V8 - Fits Select Models,"High-quality Valley Cover Gasket for 1955-58 Plymouth, Dodge, and 1957 DeSoto Firesweep. Made in USA. Perfect for your vintage restoration.","<p>Restore your vintage Dodge, Chrysler, DeSoto, or Plymouth with our premium <strong>Valley Cover Gasket</strong>, specifically designed for the classic V8 engines of the mid-50s. Manufactured in the USA, this gasket ensures a perfect seal to maintain your engine's integrity and performance.</p><ul><li>Compatible with <strong>1955 Plymouth</strong> (all V8 models), <strong>1956 Plymouth 270</strong> (excludes 277), <strong>1953-58 Dodge</strong> cars (all V8), and <strong>1957 DeSoto Firesweep</strong> (unique fit).</li><li>Designed to fit a wide range of models including <strong>1955-1958 Dodge Coronet, Custom, Lancer, Royal, Sierra, Suburban</strong> and <strong>1955-1956 Plymouth Belvedere, Plaza, Savoy, Suburban</strong>, plus the exclusive <strong>1956 Plymouth Fury</strong> and <strong>1957 DeSoto Firesweep</strong>.</li></ul><p>Made with precision and care in the USA, this valley cover gasket is essential for anyone looking to complete a faithful restoration or simply maintain their vintage vehicle in top condition. Ensure your classic car runs smoothly with our reliable, high-quality parts.</p>",
task-22,Valley Cover Gasket for 1955-58 Chrysler & Imperial Models,High-quality USA-made Valley Cover Gasket for 1955-58 Chrysler & Imperial models. Perfect fit for engine longevity.,"<p>Enhance the performance and durability of your vintage Chrysler or Imperial with our premium <strong>Valley Cover Gasket</strong>. Designed specifically for 1955-58 models, this push rod cover or valley pan cover gasket ensures a perfect seal to maintain your engine's integrity and efficiency.</p><ul><li><strong>Vehicle Compatibility:</strong> Fits a wide range of models including the 1955-58 Chrysler 300, Imperial, New Yorker, Windsor, Saratoga, and more.</li><li><strong>Quality Craftsmanship:</strong> Proudly made in the USA, this gasket is the epitome of quality and reliability, ensuring your classic car runs smoothly for years to come.</li><li><strong>Durable Materials:</strong> Manufactured with precision and top-grade materials to withstand the rigors of your engine's environment.</li></ul><p>Invest in the best for your vintage vehicle. This Valley Cover Gasket is the perfect choice for car enthusiasts seeking to restore or maintain their classic Chrysler or Imperial models to peak condition.</p>",
task-23,1951-58 Chrysler V8 Intake Manifold Gasket Set,"Premium intake manifold gasket set for 1951-58 Chrysler, Imperial models. Ensure optimal engine performance with USA-made gaskets.","<p>Revitalize your vintage Chrysler or Imperial's engine with our <strong>Intake Manifold Gasket Set</strong>, specifically designed for all V8 models from 1951 through 1958. This essential engine component is crucial for preventing air leaks, ensuring a tight seal between the intake manifold and cylinder heads, and maintaining optimal engine performance.</p><ul><li><strong>Compatibility:</strong> Perfect fit for a wide range of models including the Chrysler Imperial, New Yorker, Saratoga, 300, Windsor, and more across years 1951 to 1958.</li><li><strong>Quality Craftsmanship:</strong> Proudly made in the USA, this gasket set meets or exceeds original equipment specifications for durability and performance.</li><li><strong>Vehicle Fitment:</strong> Specifically designed for 1951-58 Chrysler all V8 models and Imperial models, ensuring a perfect seal and fit.</li></ul><p>Don't compromise on quality when it comes to your classic car. Our Intake Manifold Gasket Set is the perfect choice for restoring, repairing, or maintaining your vintage Chrysler or Imperial's engine for reliability and performance that lasts.</p>",
